Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-03-18,"""Strength training (weight lifting, weight training)""",Cardio,424.2,56,,,,,
2026-03-19,"""Strength training (weight lifting, weight training)""",Cardio,368.3,64,,,,,
2026-03-20,"""Stair-treadmill ergometer, general""",Cardio,190.6,17,,,,,
2026-03-20,"""Strength training (weight lifting, weight training)""",Cardio,208.9,25,,,,,
2026-03-20,Apple Health App Workout,Cardio,109.8,14,,,,,
2026-03-22,"""Running (jogging), 6.7 mph (9 min mile)""",Cardio,317.3,23,,,,,
2026-03-22,"""Walking, 3.5 mph, brisk pace""",Cardio,52.1,5,,,,,
2026-03-24,"""Strength training (weight lifting, weight training)""",Cardio,456.1,46,,,,,
2026-03-25,"""Strength training (weight lifting, weight training)""",Cardio,291.5,48,,,,,
2026-03-26,"""Strength training (weight lifting, weight training)""",Cardio,424.0,62,,,,,
2026-03-26,"""Walking, 2.0 mph, slow pace""",Cardio,65.7,17,,,,,
2026-03-27,"""Strength training (weight lifting, weight training)""",Cardio,513.7,65,,,,,
2026-03-28,"""Strength training (weight lifting, weight training)""",Cardio,545.0,65,,,,,
2026-03-29,Brazilian Jiu Jitsu,Cardio,400.0,40,,,,,
2026-03-30,"""Strength training (weight lifting, weight training)""",Cardio,359.5,48,,,,,
2026-03-31,"""Strength training (weight lifting, weight training)""",Cardio,400.4,52,,,,,
2026-04-01,"""Strength training (weight lifting, weight training)""",Cardio,311.5,31,,,,,
2026-04-01,"""Strength training (weight lifting, weight training)""",Cardio,265.1,21,,,,,
2026-04-01,Apple Health App Workout,Cardio,87.3,9,,,,,
2026-04-02,"""Circuit training, general""",Cardio,86.7,24,,,,,
2026-04-02,"""Running (jogging), 6 mph (10 min mile)""",Cardio,424.1,30,,,,,
2026-04-02,"""Stair-treadmill ergometer, general""",Cardio,200.1,15,,,,,
2026-04-03,"""Stair-treadmill ergometer, general""",Cardio,404.9,30,,,,,
2026-04-03,"""Strength training (weight lifting, weight training)""",Cardio,247.3,28,,,,,
2026-04-04,"""Circuit training, general""",Cardio,834.0,68,,,,,
2026-04-04,"""Walking, 2.5 mph, leisurely pace""",Cardio,73.9,16,,,,,
2026-04-05,Yoga,Cardio,599.7,78,,,,,
2026-04-06,Brazilian Jiu Jitsu,Cardio,400.0,60,,,,,
2026-04-08,"""Strength training (weight lifting, weight training)""",Cardio,579.3,67,,,,,
2026-04-09,"""Strength training (weight lifting, weight training)""",Cardio,510.4,63,,,,,
2026-04-09,"""Walking, 2.0 mph, slow pace""",Cardio,94.7,23,,,,,
2026-04-10,"""Stair-treadmill ergometer, general""",Cardio,247.4,20,,,,,
2026-04-10,"""Strength training (weight lifting, weight training)""",Cardio,300.4,34,,,,,
2026-04-14,"""Strength training (weight lifting, weight training)""",Cardio,531.5,50,,,,,
2026-04-14,Apple Health App Workout,Cardio,88.3,11,,,,,
2026-04-17,"""Strength training (weight lifting, weight training)""",Cardio,467.8,56,,,,,
2026-04-18,"""Circuit training, general""",Cardio,654.5,61,,,,,
2026-04-19,"""Walking, 2.5 mph, leisurely pace""",Cardio,98.6,19,,,,,
2026-04-19,Brazilian Jiu Jitsu,Cardio,500.0,60,,,,,
2026-04-20,Brazilian Jiu Jitsu,Cardio,500.0,60,,,,,
2026-04-21,"""Strength training (weight lifting, weight training)""",Cardio,478.9,48,,,,,
2026-04-21,"""Walking, 2.5 mph, leisurely pace""",Cardio,124.2,21,,,,,
2026-04-22,"""Strength training (weight lifting, weight training)""",Cardio,525.0,43,,,,,
2026-04-22,"""Walking, 2.5 mph, leisurely pace""",Cardio,156.0,28,,,,,
